2006-11-16,11:00:00,BLUE,power release,641
2006-11-16,12:00:00,BLUE,power release,27
2006-11-16,13:00:00,BLUE,power release,0
2006-11-16,14:00:00,BLUE,power release,0
2006-11-16,15:00:00,BLUE,power release,75
2006-11-16,16:00:00,BLUE,power release,1025
2006-11-16,17:00:00,BLUE,power release,951
2006-11-16,18:00:00,BLUE,power release,1041
2006-11-16,19:00:00,BLUE,power release,644
2006-11-16,20:00:00,BLUE,power release,2736
2006-11-16,21:00:00,BLUE,power release,2703
2006-11-16,22:00:00,BLUE,power release,1186
2006-11-16,23:00:00,BLUE,power release,67
2006-11-16,00:00:00,BLUE,spill,0
2006-11-16,01:00:00,BLUE,spill,0
2006-11-16,02:00:00,BLUE,spill,0
2006-11-16,03:00:00,BLUE,spill,0
2006-11-16,04:00:00,BLUE,spill,0
2006-11-16,05:00:00,BLUE,spill,0
2006-11-16,06:00:00,BLUE,spill,0
2006-11-16,07:00:00,BLUE,spill,0
2006-11-16,08:00:00,BLUE,spill,0
2006-11-16,09:00:00,BLUE,spill,0
2006-11-16,10:00:00,BLUE,spill,0
2006-11-16,11:00:00,BLUE,spill,0
2006-11-16,12:00:00,BLUE,spill,0
2006-11-16,13:00:00,BLUE,spill,0
2006-11-16,14:00:00,BLUE,spill,0
2006-11-16,15:00:00,BLUE,spill,0
2006-11-16,16:00:00,BLUE,spill,0
2006-11-16,17:00:00,BLUE,spill,0
2006-11-16,18:00:00,BLUE,spill,0
2006-11-16,19:00:00,BLUE,spill,0
2006-11-16,20:00:00,BLUE,spill,0
2006-11-16,21:00:00,BLUE,spill,0
2006-11-16,22:00:00,BLUE,spill,0
2006-11-16,23:00:00,BLUE,spill,0
2006-11-16,00:00:00,CRYSTAL,ave bypass release,5
2006-11-16,01:00:00,CRYSTAL,ave bypass release,6
2006-11-16,02:00:00,CRYSTAL,ave bypass release,5
2006-11-16,03:00:00,CRYSTAL,ave bypass release,5
2006-11-16,04:00:00,CRYSTAL,ave bypass release,6
2006-11-16,05:00:00,CRYSTAL,ave bypass release,5
2006-11-16,06:00:00,CRYSTAL,ave bypass release,6
2006-11-16,07:00:00,CRYSTAL,ave bypass release,5
2006-11-16,08:00:00,CRYSTAL,ave bypass release,5
2006-11-16,09:00:00,CRYSTAL,ave bypass release,6
2006-11-16,10:00:00,CRYSTAL,ave bypass release,5
2006-11-16,11:00:00,CRYSTAL,ave bypass release,5
2006-11-16,12:00:00,CRYSTAL,ave bypass release,5
2006-11-16,13:00:00,CRYSTAL,ave bypass release,5
2006-11-16,14:00:00,CRYSTAL,ave bypass release,4
2006-11-16,15:00:00,CRYSTAL,ave bypass release,4
2006-11-16,16:00:00,CRYSTAL,ave bypass release,6
2006-11-16,17:00:00,CRYSTAL,ave bypass release,5
2006-11-16,18:00:00,CRYSTAL,ave bypass release,6
2006-11-16,19:00:00,CRYSTAL,ave bypass release,7
2006-11-16,20:00:00,CRYSTAL,ave bypass release,6
2006-11-16,21:00:00,CRYSTAL,ave bypass release,6
2006-11-16,22:00:00,CRYSTAL,ave bypass release,8
2006-11-16,23:00:00,CRYSTAL,ave bypass release,7
2006-11-16,00:00:00,CRYSTAL,ave head,210.44
2006-11-16,01:00:00,CRYSTAL,ave head,210.1
2006-11-16,02:00:00,CRYSTAL,ave head,209.74
2006-11-16,03:00:00,CRYSTAL,ave head,209.37
2006-11-16,04:00:00,CRYSTAL,ave head,209
2006-11-16,05:00:00,CRYSTAL,ave head,208.63
2006-11-16,06:00:00,CRYSTAL,ave head,209.25
2006-11-16,07:00:00,CRYSTAL,ave head,209.66
2006-11-16,08:00:00,CRYSTAL,ave head,210.02
2006-11-16,09:00:00,CRYSTAL,ave head,210.09
2006-11-16,10:00:00,CRYSTAL,ave head,209.85
2006-11-16,11:00:00,CRYSTAL,ave head,209.48
2006-11-16,12:00:00,CRYSTAL,ave head,209.12
2006-11-16,13:00:00,CRYSTAL,ave head,208.75
2006-11-16,14:00:00,CRYSTAL,ave head,208.39
2006-11-16,15:00:00,CRYSTAL,ave head,208.02
2006-11-16,16:00:00,CRYSTAL,ave head,207.65
2006-11-16,17:00:00,CRYSTAL,ave head,208.04
2006-11-16,18:00:00,CRYSTAL,ave head,208.75
2006-11-16,19:00:00,CRYSTAL,ave head,209.45
2006-11-16,20:00:00,CRYSTAL,ave head,210.13
2006-11-16,21:00:00,CRYSTAL,ave head,210.79
2006-11-16,22:00:00,CRYSTAL,ave head,210.72
2006-11-16,23:00:00,CRYSTAL,ave head,210.37
2006-11-16,00:00:00,CRYSTAL,pool elevation,6743.48
2006-11-16,01:00:00,CRYSTAL,pool elevation,6743.13
2006-11-16,02:00:00,CRYSTAL,pool elevation,6742.77
2006-11-16,03:00:00,CRYSTAL,pool elevation,6742.39
2006-11-16,04:00:00,CRYSTAL,pool elevation,6742.03
2006-11-16,05:00:00,CRYSTAL,pool elevation,6741.65
2006-11-16,06:00:00,CRYSTAL,pool elevation,6742.28
2006-11-16,07:00:00,CRYSTAL,pool elevation,6742.68
2006-11-16,08:00:00,CRYSTAL,pool elevation,6743.05
2006-11-16,09:00:00,CRYSTAL,pool elevation,6743.11
2006-11-16,10:00:00,CRYSTAL,pool elevation,6742.87
2006-11-16,11:00:00,CRYSTAL,pool elevation,6742.5
2006-11-16,12:00:00,CRYSTAL,pool elevation,6742.14
2006-11-16,13:00:00,CRYSTAL,pool elevation,6741.78
2006-11-16,14:00:00,CRYSTAL,pool elevation,6741.42
2006-11-16,15:00:00,CRYSTAL,pool elevation,6741.05
2006-11-16,16:00:00,CRYSTAL,pool elevation,6740.68
2006-11-16,17:00:00,CRYSTAL,pool elevation,6741.08
2006-11-16,18:00:00,CRYSTAL,pool elevation,6741.79
2006-11-16,19:00:00,CRYSTAL,pool elevation,6742.48
2006-11-16,20:00:00,CRYSTAL,pool elevation,6743.17
2006-11-16,21:00:00,CRYSTAL,pool elevation,6743.83
2006-11-16,22:00:00,CRYSTAL,pool elevation,6743.76
2006-11-16,23:00:00,CRYSTAL,pool elevation,6743.41
2006-11-16,00:00:00,CRYSTAL,power,18.78
2006-11-16,01:00:00,CRYSTAL,power,18.74
2006-11-16,02:00:00,CRYSTAL,power,18.72
2006-11-16,03:00:00,CRYSTAL,power,18.68
2006-11-16,04:00:00,CRYSTAL,power,18.67
2006-11-16,05:00:00,CRYSTAL,power,18.63
2006-11-16,06:00:00,CRYSTAL,power,18.62
